point_id;event_code;event_frame;event_timestamp_sec
1;A;416;13,86925620185472
1;2;747;24,904649958618933
1;F;756;25,20470598221675
1;F;810;27,005042123803666
1;E;810;27,005042123803666
2;A;1435;47,84226598476328
2;2;1527;50,90950533709653
2;E;1817;60,57797720858179
3;A;2357;78,58133862445091
3;2;2477;82,58208560575515
3;E;2727;90,916975150139
4;A;3268;108,95367612418563
4;1;3386;112,88774398913482
4;F;3386;112,88774398913482
4;B;3456;115,22151306156228
4;B;3512;117,08852831950428
4;E;3548;118,28875241389557
5;A;4127;137,59235659868853
5;1;4176;139,22599494938777
5;F;4186;139,55939053116313
5;E;4210;140,35953992742398
6;A;4765;158,86299471595612
6;2;4911;163,73057020987628
6;F;5257;175,26605733930353
6;B;5322;177,43312862084332
6;F;5412;180,4336888568215
6;B;5459;182,0006480911657
6;E;5459;182,0006480911657
7;B;6892;229,77623495957388
7;1;6932;231,10981728667528
7;B;6985;232,87681387008467
7;F;7047;234,94386647709183
7;E;7097;236,61084438596865
8;B;7862;262,1156063917832
8;1;7976;265,91631602402225
8;F;8000;266,7164654202831
8;F;8041;268,08338730556204
8;E;8097;269,95040256350404
9;B;8526;284,2530730216667
9;1;8617;287,2869728158224
9;B;8635;287,88708486301806
9;E;8654;288,52053646839124
10;B;9005;300,22272138870613
10;1;9558;318,6594970608832
10;F;9580;319,39296734078897
10;F;9628;320,99326613331067
10;F;9704;323,5270725548034
10;F;9750;325,06069223097
10;V;9770;325,72748339452073
10;E;9770;325,72748339452073
11;B;10419;347,3648566517412
11;2;10547;351,6323200984657
11;F;10872;362,4676765061647
11;F;10919;364,03463574050886
11;B;11003;366,8351586274218
11;E;11003;366,8351586274218
12;B;11712;390,4729053752944
12;1;11862;395,4738391019248
12;B;11862;395,4738391019248
12;E;11862;395,4738391019248
13;A;12708;423,6791053201197
13;1;12740;424,7459711818008
13;F;12761;425,446101903529
13;F;12835;427,9132292086667
13;F;12924;430,8804498864673
13;B;12978;432,68078602805423
13;F;13033;434,5144617278187
13;E;13070;435,7480253803875
14;A;13996;466,6204562527852
14;2;14075;469,25428134881054
14;2;14386;479,622883942024
14;B;14436;481,2898618509008
14;B;14436;481,2898618509008
14;B;14468;482,356727712582
14;E;14478;482,6901232943573
15;A;15180;506,0944931349872
15;1;15250;508,4282622074146
15;F;15282;509,49512806909576
15;F;15376;512,6290465377841
15;E;15386;512,9624421195595
16;A;15876;529,2988256265518
16;2;16039;534,73317360949
16;F;16260;542,1012159667254
16;B;16298;543,3681191774717
16;B;16357;545,3351531099463
16;F;16422;547,5022243914862
16;F;16479;549,4025792076056
16;F;16506;550,3027472783991
16;E;16506;550,3027472783991
17;A;17414;580,5750661036012
17;1;17492;583,1755516414489
17;F;17524;584,2424175031301
17;F;17593;586,54284701738
17;E;17593;586,54284701738
18;B;18920;630,7844407189694
18;1;18995;633,2849075822846
18;B;19023;634,2184152112557
18;F;19097;636,6855425163933
18;F;19171;639,1526698215308
18;E;19198;640,0528378923243
19;B;19527;651,0215525327335
19;1;19593;653,2219633724508
19;B;19627;654,355508350487
19;E;19646;654,9889599558602
20;B;20550;685,1279205483522
20;1;20637;688,0284621097977
20;F;20673;689,228686204189
20;F;20730;691,1290410203086
20;E;20799;693,4294705345585
21;B;21239;708,098876132674
21;1;21334;711,2661341595399
21;B;21364;712,266320904866
21;W;21435;714,633429535471
22;B;22073;735,9040676527386
22;2;22132;737,8711015852132
22;E;22584;752,9405818814591
23;B;23168;772,4108838571398
23;1;23220;774,1445408823716
23;F;23254;775,2780858604078
23;B;23305;776,9784033274622
23;W;23384;779,6122284234874
24;B;23915;797,3155338157587
24;2;24050;801,816374169726
24;F;24672;822,553579356153
24;F;24738;824,7539901958704
24;F;24848;828,4213415953992
24;F;24905;830,3216964115188
24;E;24905;830,3216964115188
25;B;25442;848,2250391528553
25;2;25561;852,192446575982
25;E;25803;860,2606196549456
26;A;28166;939,0419956284616
26;1;28268;942,4426305625702
26;F;28289;943,1427612842986
26;F;28376;946,043302845744
26;E;28439;948,1436950109288
27;A;28959;965,4802652632472
27;1;29053;968,6141837319356
27;F;29081;969,5476913609066
27;F;29145;971,6814230842688
27;F;29191;973,2150427604356
27;V;29219;974,1485503894064
27;F;29254;975,31543492562
27;S;29314;977,3158084162724
27;W;29378;979,4495401396346
28;A;29898;996,786110391953
28;1;29981;999,5532937206884
28;F;30020;1000,8535364896122
28;F;30093;1003,2873242365724
28;F;30142;1004,9209625872716
28;F;30193;1006,621280054326
28;E;30259;1008,8216908940432
29;A;30860;1028,858765358742
29;2;31185;1039,694121766441
29;F;31237;1041,4277787916728
29;B;31294;1043,3281336077923
29;E;31341;1044,8950928421366
30;A;31952;1065,2655628886107
30;2;32350;1078,5347070432697
30;E;32350;1078,5347070432697
31;B;33725;1124,3765995373808
31;1;33803;1126,9770850752286
31;F;33834;1128,0106113787322
31;F;33886;1129,744268403964
31;E;33950;1131,8780001273262
32;B;34492;1149,9480406595505
32;1;34529;1151,1816043121194
32;F;34569;1152,5151866392207
32;E;34569;1152,5151866392207
33;B;34782;1159,6165125310358
33;1;34886;1163,0838265814994
33;F;34948;1165,1508791885067
33;E;34955;1165,3842560957494
34;B;35662;1188,955323727267
34;2;35672;1189,2887193090423
34;F;35884;1196,3567056426798
34;B;35942;1198,2904000169767
34;F;36006;1200,4241317403391
34;F;36070;1202,5578634637013
34;E;36070;1202,5578634637013
35;B;36803;1226,9957596078348
35;1;36855;1228,7294166330666
35;B;36884;1229,696263820215
35;B;36959;1232,1967306835304
35;B;37009;1233,8637085924072
35;E;37009;1233,8637085924072
36;B;37588;1253,1673127772
36;2;37683;1256,3345708040658
36;F;37939;1264,869497697515
36;E;38011;1267,2699458862976
37;A;39278;1309,5111660972348
37;1;39274;1309,3778078645248
37;F;39363;1312,3450285423253
37;B;39432;1314,6454580565753
37;B;39472;1315,9790403836766
37;F;39551;1318,6128654797021
37;F;39597;1320,1464851558687
37;F;39698;1323,5137805317997
37;E;39698;1323,5137805317997
38;A;40382;1346,3180383252338
38;1;40494;1350,052068841118
38;F;40503;1350,3521248647157
38;F;40569;1352,552535704433
38;E;40640;1354,9196443350381
39;A;41689;1389,8928408632728
39;2;41689;1389,8928408632728
39;F;41729;1391,2264231903741
39;F;41810;1393,9269274027545
39;E;41810;1393,9269274027545
40;A;42560;1418,931596035906
40;1;42630;1421,2653651083335
40;F;42675;1422,7656452263225
40;E;42675;1422,7656452263225
41;A;43189;1439,9021781295758
41;2;43306;1443,8029064363475
41;F;43598;1453,5380574241876
41;E;43639;1454,9049793094666
42;A;44283;1476,3756547757994
42;1;44451;1481,9767005496253
42;F;44468;1482,5434730386435
42;B;44574;1486,0774662054623
42;E;44582;1486,3441826708824
